Id,Labels
Fake_01,original
Fake_02,Fake
Fake_03,original
Fake_04,original
Fake_05,Fake
Fake_06,Fake
Fake_07,original
Fake_08,Fake
Fake_09,original
Fake_10,Fake
Fake_11,original
Fake_12,original
Fake_13,Fake
Fake_14,original
Fake_15,original
Fake_16,Fake
Fake_17,original
Fake_18,Fake
Fake_19,Fake
Fake_20,Fake
Fake_21,original
Fake_22,Fake
Fake_23,Fake
Fake_24,Fake
Fake_25,original
Fake_26,Fake
Fake_27,original
Fake_28,Fake
Fake_29,Fake
Fake_30,original
Fake_31,Fake
Fake_32,original
Fake_33,original
Fake_34,Fake
Fake_35,original
Fake_36,original
Fake_37,original
Fake_38,Fake
Fake_39,Fake
Fake_40,Fake
Fake_41,Fake
Fake_42,Fake
Fake_43,Fake
Fake_44,original
Fake_45,original
Fake_46,original
Fake_47,Fake
Fake_48,Fake
Fake_49,Fake
Fake_50,Fake
Fake_51,Fake
Fake_52,original
Fake_53,Fake
Fake_54,original
Fake_55,Fake
Fake_56,original
Fake_57,Fake
Fake_58,Fake
Fake_59,original
Fake_60,original
Fake_61,Fake
Fake_62,original
Fake_63,original
Fake_64,Fake
Fake_65,original
Fake_66,Fake
Fake_67,original
Fake_68,original
Fake_69,original
Fake_70,original
Fake_71,original
Fake_72,original
Fake_73,original
Fake_74,original
Fake_75,original
Fake_76,Fake
Fake_77,Fake
Fake_78,original
Fake_79,Fake
Fake_80,Fake
Fake_81,original
Fake_82,Fake
Fake_83,original
Fake_84,original
Fake_85,original
Fake_86,Fake
Fake_87,original
Fake_88,original
Fake_89,original
Fake_90,original
Fake_91,Fake
Fake_92,Fake
Fake_93,Fake
Fake_94,Fake
Fake_95,Fake
Fake_96,Fake
Fake_97,original
Fake_98,original
Fake_99,Fake
Fake_100,Fake
Fake_101,Fake
Fake_102,Fake
Fake_103,Fake
Fake_104,Fake
Fake_105,original
Fake_106,Fake
Fake_107,original
Fake_108,original
Fake_109,original
Fake_110,original
Fake_111,Fake
Fake_112,original
Fake_113,Fake
Fake_114,Fake
Fake_115,original
Fake_116,Fake
Fake_117,original
Fake_118,Fake
Fake_119,original
Fake_120,Fake
Fake_121,original
Fake_122,original
Fake_123,Fake
Fake_124,Fake
Fake_125,Fake
Fake_126,original
Fake_127,original
Fake_128,original
Fake_129,Fake
Fake_130,original
Fake_131,original
Fake_132,Fake
Fake_133,Fake
Fake_134,original
Fake_135,original
Fake_136,original
Fake_137,original
Fake_138,Fake
Fake_139,original
Fake_140,Fake
Fake_141,Fake
